"Start Time","End Time","Text","Layer ID"
"00:00:00:00","00:00:00:00","eux.","1"
"00:01:04:15","00:01:05:00","Je sais","1"
"00:01:05:00","00:01:05:05","ce que","1"
"00:01:05:05","00:01:05:08","vous","1"
"00:01:05:08","00:01:06:13","pensez.","1"
"00:01:07:07","00:01:07:11","Une","1"
"00:01:07:11","00:01:08:04","aventurière","1"
"00:01:08:04","00:01:09:08","solitaire,","1"
"00:01:09:15","00:01:10:07","un univers","1"
"00:01:10:07","00:01:10:10","de","1"
"00:01:10:10","00:01:11:15","désolation,","1"
"00:01:11:19","00:01:12:16","une atmosphère","1"
"00:01:12:16","00:01:13:04","de fin","1"
"00:01:13:04","00:01:14:09","du monde.","1"
"00:01:15:05","00:01:15:15","Comment","1"
"00:01:15:15","00:01:16:03","le chaos","1"
"00:01:16:03","00:01:16:09","s'est","1"
"00:01:16:09","00:01:16:13","il","1"
"00:01:16:13","00:01:17:18","installé ?","1"
"00:01:19:06","00:01:20:01","Eh bien,","1"
"00:01:20:01","00:01:20:07","tout","1"
"00:01:20:07","00:01:20:20","a commencé","1"
"00:01:20:20","00:01:21:08","il y a","1"
"00:01:21:08","00:01:22:13","500 ans,","1"
"00:01:22:19","00:01:23:23","quand","1"
"00:01:24:11","00:01:25:16","commencera","1"
"00:01:28:00","00:01:28:14","voici","1"
"00:01:28:14","00:01:28:20","à quoi","1"
"00:01:28:20","00:01:29:08","ressemblait","1"
"00:01:29:08","00:01:29:15","notre","1"
"00:01:29:15","00:01:30:01","pays.","1"
"00:01:30:01","00:01:30:12","Du temps","1"
"00:01:30:12","00:01:30:21","où il était","1"
"00:01:30:21","00:01:31:08","unis et","1"
"00:01:31:08","00:01:32:06","que les habitants","1"
"00:01:32:06","00:01:32:08","y","1"
"00:01:32:08","00:01:32:17","vivaient","1"
"00:01:32:17","00:01:33:21","en harmonie,","1"
"00:01:35:13","00:01:35:16","aux","1"
"00:01:35:16","00:01:36:04","côtés","1"
"00:01:36:04","00:01:36:09","des","1"
